team,avg_age,squad_size,continuity_pct,current_n,qatar_n
France,27.0,26,53.8,26,40
Spain,26.7,27,40.7,27,33
Argentina,28.1,29,65.5,29,40
England,27.3,35,45.7,35,42
Portugal,27.1,26,57.7,26,37
Brazil,27.1,24,43.5,23,41
Netherlands,27.1,25,64.0,25,44
Morocco,25.3,29,31.0,29,45
Belgium,27.6,26,65.4,26,45
Germany,28.1,25,44.0,25,37
Croatia,28.3,26,61.5,26,35
Colombia,29.8,26,61.5,26,63
Senegal,26.9,28,60.7,28,40
Mexico,26.9,12,58.3,12,56
USA,26.4,27,59.3,27,43
Uruguay,28.5,28,60.7,28,38
Japan,27.7,26,57.7,26,55
Switzerland,28.0,26,69.2,26,38
Iran,29.3,30,63.3,30,53
Turkey,27.2,31,58.1,31,47
Ecuador,26.0,32,53.1,32,46
Austria,28.4,28,78.6,28,44
South Korea,28.2,26,73.1,26,54
Algeria,26.0,26,26.9,26,48
Australia,27.2,26,34.6,26,47
Bosnia-Herzegovina,26.8,26,26.9,26,36
Canada,26.6,26,53.8,26,42
Cape Verde,28.5,36,47.2,36,55
Czechia,28.1,24,37.5,24,47
Curacao,28.0,26,46.2,26,55
DR Congo,28.5,26,34.6,26,51
Egypt,29.1,26,53.8,26,53
Ghana,26.4,29,34.5,29,50
Haiti,27.5,26,30.8,26,28
Iraq,26.6,28,53.6,28,61
Jordan,27.1,26,46.2,26,37
New Zealand,28.1,26,69.2,26,39
Panama,29.7,23,87.0,23,80
Paraguay,28.9,25,56.0,25,56
Qatar,27.9,25,40.0,25,35
Saudi Arabia,27.9,23,47.8,23,44
Scotland,28.7,26,65.4,26,40
South Africa,26.9,23,43.5,23,49
Sweden,27.4,26,50.0,26,48
Tunisia,26.6,26,46.2,26,48
Uzbekistan,27.1,40,55.0,40,38
Norway,27.1,24,62.5,24,39
Côte d'Ivoire,25.6,26,42.3,26,46
