team,slug,verein_id
France,frankreich,3377
Spain,spanien,3375
Argentina,argentinien,3437
England,england,3299
Portugal,portugal,3300
Brazil,brasilien,3439
Netherlands,niederlande,3379
Morocco,marokko,3575
Belgium,belgien,3382
Germany,deutschland,3262
Croatia,kroatien,3556
Colombia,kolumbien,3816
Senegal,senegal,3499
Mexico,mexiko,6303
USA,vereinigte-staaten,3505
Uruguay,uruguay,3449
Japan,japan,3435
Switzerland,schweiz,3384
Denmark,danemark,3436
Iran,iran,3582
Turkey,turkei,3381
Ecuador,ecuador,5750
Austria,osterreich,3383
South Korea,sudkorea,3589
Algeria,algerien,3614
Australia,australien,3433
Bosnia-Herzegovina,bosnien-herzegowina,3446
Canada,kanada,3510
Cape Verde,kap-verde,4311
Czechia,tschechien,3445
Curacao,curacao,32364
DR Congo,demokratische-republik-kongo,3854
Egypt,agypten,3672
Ghana,ghana,3441
Haiti,haiti,14161
Iraq,irak,3560
Jordan,jordanien,15737
New Zealand,neuseeland,9171
Panama,panama,3577
Paraguay,paraguay,3581
Qatar,katar,14162
Saudi Arabia,saudi-arabien,3807
Scotland,schottland,3380
South Africa,sudafrika,3806
Sweden,schweden,3557
Tunisia,tunesien,3670
Uzbekistan,usbekistan,3563
Norway,norwegen,3440
Cote d'Ivoire,ivory-coast,3591
